,valence,energy,acousticness
7093,0.6459999999999999,0.557,0.0429
10674,0.48,0.698,0.18
17861,0.446,0.20899999999999996,0.765
599,0.963,0.7290000000000001,0.00211
16409,0.633,0.6859999999999999,0.173
13405,0.22099999999999997,0.414,0.802
10348,0.298,0.31,0.2239999999999999
15960,0.645,0.877,0.00952
5070,0.915,0.62,0.34
13093,0.484,0.401,0.3929999999999999
19620,0.28,0.02789999999999998,0.8590000000000001
17114,0.4539999999999999,0.3339999999999999,0.546
11175,0.439,0.76,0.00379
20693,0.6679999999999999,0.69,0.0002
444,0.42,0.11399999999999999,0.8220000000000001
8415,0.376,0.638,0.812
2244,0.181,0.5660000000000001,0.0526
18913,0.359,0.3879999999999999,0.3339999999999999
15675,0.51,0.66,0.121
16999,0.537,0.45,0.223
19937,0.606,0.49,0.25
6906,0.672,0.84,0.125
4658,0.8640000000000001,0.946,0.0802
16594,0.341,0.63,0.0998
14984,0.235,0.512,0.723
10825,0.365,0.91,0.141
2887,0.0398,0.22099999999999997,0.231
15185,0.7879999999999999,0.795,0.156
4017,0.11499999999999999,0.428,0.00326
839,0.246,0.74,0.0239
16260,0.477,0.591,0.0756
853,0.593,0.3379999999999999,0.662
4929,0.3979999999999999,0.4039999999999999,0.773
18326,0.755,0.7879999999999999,0.0599
21392,0.495,0.431,0.0534
15110,0.544,0.757,0.0018399999999999
18398,0.345,0.7959999999999999,0.00147
16657,0.22899999999999987,0.4,0.4
21137,0.802,0.721,0.1639999999999999
9691,0.557,0.384,0.0335
4093,0.638,0.474,0.00381
10207,0.447,0.22699999999999987,0.53
18125,0.5479999999999999,0.396,0.0841
21072,0.615,0.546,0.0137
20886,0.713,0.496,0.0275
12916,0.488,0.884,0.00186
17855,0.507,0.6759999999999999,0.474
7947,0.408,0.6579999999999999,0.0241
18252,0.47,0.698,0.00112
7995,0.684,0.516,0.098
13980,0.599,0.8170000000000001,0.00054
16886,0.688,0.479,0.3879999999999999
1354,0.527,0.15600000000000003,0.585
591,0.772,0.6920000000000001,0.00302
19732,0.408,0.412,0.615
7450,0.624,0.871,0.0221
20061,0.8590000000000001,0.868,0.327
1839,0.09389999999999998,0.606,0.0204
15490,0.531,0.4479999999999999,0.166
19025,0.563,0.422,0.21
16525,0.715,0.347,0.208
14203,0.74,0.73,0.145
16898,0.524,0.373,0.158
1653,0.07479999999999998,0.22099999999999997,0.1159999999999999
21117,0.71,0.7070000000000001,0.00946
6644,0.3389999999999999,0.872,0.00292
13435,0.348,0.15700000000000003,0.887
20213,0.492,0.451,0.45
16477,0.809,0.596,0.235
8593,0.119,0.41,0.365
17563,0.311,0.8909999999999999,0.0313
12375,0.178,0.802,0.3429999999999999
20700,0.3279999999999999,0.725,0.00252
19459,0.5479999999999999,0.373,0.331
19657,0.52,0.8440000000000001,0.0651
12353,0.2689999999999999,0.911,0.011
9297,0.631,0.487,0.1159999999999999
17840,0.439,0.612,0.1009999999999999
14192,0.439,0.638,0.00206
5611,0.138,0.596,0.0698
21311,0.48,0.476,0.0965
15001,0.5329999999999999,0.479,0.149
19570,0.239,0.578,0.79
7386,0.7490000000000001,0.466,0.0018
21331,0.261,0.696,0.00431
7447,0.787,0.476,0.0681
9704,0.352,0.49,0.411
18578,0.654,0.606,0.0561
1052,0.235,0.688,0.0396
5670,0.718,0.327,0.256
9543,0.762,0.374,0.2689999999999999
21518,0.58,0.4429999999999999,0.0312
13245,0.331,0.264,0.922
14143,0.3429999999999999,0.7070000000000001,0.0991
8804,0.7759999999999999,0.479,0.703
12123,0.175,0.7809999999999999,0.0237
546,0.09360000000000002,0.39,0.7120000000000001
6734,0.03970000000000001,0.449,0.629
3073,0.0363,0.09439999999999998,0.922
16941,0.509,0.301,0.845
20007,0.236,0.431,0.123
6673,0.513,0.47,0.597
