,valence,energy,acousticness,song_name,mood
11252,0.253,0.126,0.0201,ME TOO,Happy
14413,0.347,0.121,0.244,My Shit,Happy
19786,0.34099999999999997,0.17799999999999994,0.121,JAPAN,Happy
9587,0.272,0.08899999999999997,0.00015,Kicked Back,Happy
16546,0.29599999999999993,0.051000000000000045,0.00364,Love Like This,Happy
9224,0.3690000000000001,0.08899999999999997,0.148,Ms. Fat Booty,Happy
18467,0.45199999999999996,0.2340000000000001,0.0427,Sucker,Happy
14004,0.06899999999999995,0.03700000000000003,0.37,Speciaal,Happy
8852,0.383,0.19200000000000006,0.368,Zero,Happy
1327,0.040000000000000036,0.010000000000000009,0.313,In My Bag,Happy
16087,0.43799999999999994,0.16599999999999993,0.0256,Hey Ma,Happy
4113,0.41900000000000004,0.17799999999999994,0.00135,Gankin' Fools,Happy
9326,0.133,0.07100000000000006,0.134,Stress Is a Killa,Happy
18117,0.28700000000000003,0.11099999999999999,0.00406,Workin,Happy
6456,0.22599999999999998,0.026000000000000023,0.0898,Pk Fire,Happy
8994,0.2859999999999999,0.017000000000000015,0.0115,RELENTLESS (feat. Lil Uzi Vert),Happy
20161,0.15799999999999992,0.06000000000000005,0.00698,What's The Deal/ Half-A-Mil (Interlude),Happy
17797,0.06799999999999995,0.03299999999999992,0.107,Weak,Happy
18885,0.19599999999999995,0.07399999999999995,0.138,Luck of Lucien,Happy
6995,0.258,0.06700000000000006,0.0552,Midday (feat. Craig Xen),Happy
6763,0.15599999999999992,0.08499999999999996,0.0399,What's That Cha Say,Happy
14064,0.21999999999999997,0.025000000000000022,0.284,I WANT YOU,Happy
19447,0.21700000000000008,0.030000000000000027,0.107,Unorthodox,Happy
7152,0.03799999999999992,0.02100000000000002,0.595,In the Flesh,Happy
9737,0.252,0.01200000000000001,0.354,No Cap (feat. Rich The Kid),Happy
16324,0.3859999999999999,0.20999999999999996,0.0283,Leavin',Happy
18284,0.43700000000000006,0.19200000000000006,0.0412,Treasure,Happy
6717,0.257,0.08700000000000008,0.212,"Midnight Era Szn, Vol. 1",Happy
1688,0.133,0.01200000000000001,0.138,Acid Trip,Happy
14601,0.029000000000000026,0.0,0.114,Rich Forever Way Outro,Happy
8925,0.22799999999999998,0.08099999999999996,0.568,Run It Up,Happy
18927,0.4,0.17500000000000004,0.2789999999999999,Flamboyant,Happy
7018,0.09999999999999998,0.028000000000000025,0.00161,I <3 My Choppa (feat. Maxo Kream) - Remix,Happy
17449,0.259,0.07700000000000007,0.303,Drop Top Benz,Happy
20435,0.15599999999999992,0.08599999999999997,0.00558,D'Evils,Happy
15134,0.33799999999999997,0.052999999999999936,0.152,Powder Blue (feat. Gunna),Happy
12288,0.41400000000000003,0.16599999999999993,0.0008449999999999,"1 FIST, 2 FIST",Happy
11338,0.32900000000000007,0.06899999999999995,0.0447,Viernes 13,Happy
12069,0.15900000000000003,0.050000000000000044,0.0624,Catastrophic,Happy
7925,0.33499999999999996,0.1459999999999999,0.0152,1942 (feat. Yo Gotti & YBN Nahmir),Happy
5760,0.07100000000000006,0.026000000000000023,0.00172,No Beef,Happy
5403,0.32299999999999995,0.16000000000000003,0.0808,Lit Like a Bic,Happy
975,0.3440000000000001,0.07499999999999996,0.00225,ONMYGRANNYKIDS,Happy
16200,0.42400000000000004,0.242,0.321,Smack That,Happy
10327,0.21499999999999997,0.01200000000000001,0.2739999999999999,556,Happy
16192,0.11199999999999999,0.02400000000000002,0.00946,Hypnotized,Happy
16761,0.12,0.052999999999999936,0.2739999999999999,Belong to You (feat. 6LACK),Happy
17666,0.05600000000000005,0.014000000000000012,0.2689999999999999,Sexy Love,Happy
18559,0.11299999999999999,0.052000000000000046,0.18,Dilemma,Happy
18550,0.43899999999999995,0.17700000000000005,0.216,Bow Wow (That's My Name),Happy
10813,0.379,0.136,0.00671,One Minute (feat. Kanye West & Travis Barker),Happy
12343,0.247,0.09099999999999997,0.111,Take A Step Back,Happy
8518,0.23199999999999998,0.08899999999999997,0.562,Summertime Santa,Happy
17007,0.257,0.09599999999999997,0.457,When I See U,Happy
7005,0.15700000000000003,0.08599999999999997,0.264,2 Vaults (feat. Lil Yachty),Happy
1310,0.274,0.06499999999999995,0.0491,Midday (feat. Wifisfuneral),Happy
15286,0.17200000000000004,0.0040000000000000036,0.213,I Just Know,Happy
5315,0.19499999999999995,0.10499999999999998,0.225,DANGEROUS,Happy
8626,0.31000000000000005,0.17799999999999994,0.00476,Calvin Cambridge,Happy
14038,0.21200000000000008,0.06799999999999995,0.4,Ik Mis Je,Happy
8040,0.119,0.01100000000000001,0.00331,Today - Intro,Happy
17481,0.345,0.17000000000000004,0.186,Armed And Dangerous,Happy
9868,0.28200000000000003,0.16200000000000003,0.0326,No Sense (feat. Key Glock),Happy
5518,0.20099999999999996,0.09599999999999997,0.0578,GRoCERIES,Happy
17638,0.10299999999999998,0.008000000000000007,0.0249,Dance With Me,Happy
12222,0.31900000000000006,0.030000000000000027,0.000469,YEE HAW!,Happy
14613,0.29799999999999993,0.08599999999999997,0.0547,Walk (Remix),Happy
16485,0.07999999999999996,0.03799999999999992,0.233,Into You (feat. Tamia),Happy
7494,0.16200000000000003,0.015000000000000013,0.0315,In This Bitch,Happy
16229,0.062000000000000055,0.02100000000000002,0.155,Go On Girl,Happy
19288,0.41700000000000004,0.17000000000000004,0.122,The Breaks,Happy
15379,0.15000000000000002,0.07499999999999996,0.025,Collard Greens,Happy
18792,0.12,0.05899999999999994,0.371,See You Again (feat. Kali Uchis),Happy
18599,0.17599999999999993,0.007000000000000006,0.257,My Boo,Happy
21152,0.061000000000000054,0.030000000000000027,0.0009539999999999,"Da Set, Pt. 2 (feat. About 2)",Happy
18867,0.279,0.09799999999999998,0.198,Respond/ React,Happy
20483,0.22299999999999998,0.06700000000000006,0.282,Tyler,Happy
21056,0.263,0.12,0.018,That's That Shit,Happy
626,0.27,0.10699999999999998,0.177,Another Day,Happy
16681,0.14900000000000002,0.07999999999999996,0.654,HOLD UP (feat. Queen Naija),Happy
14187,0.10599999999999998,0.016000000000000014,0.148,Costa Rica,Happy
16294,0.382,0.18900000000000006,0.15,Gifts,Happy
5204,0.10699999999999998,0.03799999999999992,0.2,dork,Happy
18707,0.20799999999999996,0.11499999999999999,0.225,Chilled Coughphee,Happy
14185,0.32599999999999996,0.10399999999999998,0.017,WHATS POPPIN,Happy
17735,0.32799999999999996,0.18700000000000006,0.1009999999999999,Where Is The Love?,Happy
17722,0.07899999999999996,0.040000000000000036,0.00398,Wall To Wall,Happy
6709,0.377,0.018000000000000016,0.223,3 Nights,Happy
13994,0.3420000000000001,0.09599999999999997,0.256,Langzaam,Happy
21504,0.22099999999999997,0.121,0.0802,Wiggle (feat. Snoop Dogg),Happy
20904,0.3390000000000001,0.18099999999999994,0.584,Just Dippin',Happy
7241,0.42900000000000005,0.14500000000000002,0.0266,Reaper,Happy
17655,0.43200000000000005,0.08999999999999997,0.34,"Independent Woman, Pt. 1",Happy
9119,0.17500000000000004,0.06600000000000006,0.147,Party (feat. Smokepurpp),Happy
9978,0.273,0.10699999999999998,0.535,Kacey Talk,Happy
8557,0.22299999999999998,0.06700000000000006,0.282,Tyler,Happy
20458,0.33099999999999996,0.0050000000000000044,0.505,Sometimes,Happy
15058,0.45599999999999996,0.07700000000000007,0.353,MET GALA,Happy
587,0.31499999999999995,0.06799999999999995,0.111,Need-a-Hit,Happy
20954,0.43999999999999995,0.14300000000000002,0.149,Represent,Happy
21445,0.15700000000000003,0.08700000000000008,0.00866,Hands Up (Outlaws) (from Welcome To Sudden Death),Happy
14793,0.247,0.10199999999999998,0.106,Bigger,Happy
20457,0.15500000000000003,0.061000000000000054,0.67,On & On,Happy
5330,0.31200000000000006,0.014000000000000012,0.747,Make Eem Run!,Happy
16547,0.236,0.123,0.0851,Body On Me,Happy
15933,0.241,0.124,0.0917,Gone Bad,Happy
8004,0.124,0.04600000000000004,0.0375,One Dolla,Happy
5531,0.14,0.07100000000000006,0.0129,Headlocc (feat. Young Thug),Happy
12049,0.377,0.137,0.176,ok im cool,Happy
5745,0.29900000000000004,0.03700000000000003,0.326,Friday (feat. DigDat),Happy
16932,0.367,0.052999999999999936,0.123,Old Thang Back,Happy
9906,0.124,0.039000000000000035,0.372,Cake,Happy
18567,0.33599999999999997,0.133,0.0901,It's Like That,Happy
19265,0.362,0.008000000000000007,0.000347,I Can't Live Without My Radio,Happy
21171,0.398,0.09699999999999998,0.0371,Lookin' At You,Happy
7002,0.32700000000000007,0.03400000000000003,0.2689999999999999,Vengeance,Happy
17549,0.21999999999999997,0.11699999999999999,0.00824,Just A Little,Happy
5836,0.16000000000000003,0.06799999999999995,0.426,XYZ,Happy
18914,0.15300000000000002,0.06600000000000006,0.1969999999999999,Wu-Tang Clan Ain't Nuthing ta F' Wit,Happy
2140,0.08299999999999996,0.016000000000000014,0.0261,BabyWipe,Happy
8954,0.357,0.18400000000000005,0.282,GP4,Happy
1457,0.14,0.006000000000000005,0.547,El Paseo,Happy
5455,0.43899999999999995,0.22799999999999998,0.0343,SPACE PUNKS,Happy
18926,0.31299999999999994,0.1459999999999999,0.00424,The Heist,Happy
17427,0.3320000000000001,0.13,0.13,STOOPID,Happy
8031,0.31900000000000006,0.17599999999999993,0.816,Let Her Go - Original,Happy
16477,0.30900000000000005,0.09599999999999997,0.235,Almost,Happy
15711,0.29799999999999993,0.050000000000000044,0.0187,pad lock,Happy
5982,0.14800000000000002,0.06799999999999995,0.0357,Nameless,Happy
144,0.236,0.04600000000000004,0.185,Lights,Happy
21010,0.05899999999999994,0.0,0.155,Watching You,Happy
9206,0.11699999999999999,0.019000000000000017,0.1169999999999999,You Know How We Do It - Remastered,Happy
20365,0.382,0.21099999999999997,0.127,Twenty Fifty Three (feat. Mr. Lif),Happy
9739,0.401,0.16099999999999992,0.264,"Hunnits, Fifties",Happy
7773,0.274,0.0050000000000000044,0.0087599999999999,Handlebars,Happy
15717,0.32700000000000007,0.06700000000000006,0.0016899999999999,a&t,Happy
16024,0.46599999999999997,0.10499999999999998,0.00186,Pony,Happy
15710,0.19599999999999995,0.09099999999999997,0.111,can't leave without it,Happy
15946,0.17599999999999993,0.007000000000000006,0.257,My Boo,Happy
16985,0.3640000000000001,0.18400000000000005,0.433,Broke,Happy
5203,0.3740000000000001,0.016000000000000014,0.763,Who Needs Love,Happy
236,0.31000000000000005,0.128,0.0604,SPEEDBOAT,Happy
18958,0.19400000000000006,0.06999999999999995,0.00267,Dopeman - Remix,Happy
14780,0.33299999999999996,0.129,0.179,Mac 10,Happy
19790,0.18799999999999994,0.008000000000000007,0.7,Jealous,Happy
16924,0.32099999999999995,0.008000000000000007,0.266,Truth Hurts,Happy
18917,0.30799999999999994,0.052000000000000046,0.032,Protect Ya Neck,Happy
20921,0.32700000000000007,0.16900000000000004,0.155,Where'z Da' Party At?,Happy
14384,0.397,0.08599999999999997,0.0606,Ten Commandments,Happy
21361,0.28900000000000003,0.15799999999999992,0.0162,Too Hot,Happy
